GEO.id,GEO.id2,GEO.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015,respop72016,respop72017,respop72018
Id,Id2,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015,Population Estimate (as of July 1) - 2016,Population Estimate (as of July 1) - 2017,Population Estimate (as of July 1) - 2018
0500000US54001,54001,"Barbour County, West Virginia",16589,16589,16612,16600,16870,16872,16903,16971,16742,16499,16535
0500000US54003,54003,"Berkeley County, West Virginia",104169,104172,104606,105718,106950,108489,110187,111683,113476,115007,117123
0500000US54005,54005,"Boone County, West Virginia",24629,24625,24605,24406,24353,24086,23710,23246,22803,22374,21951
0500000US54007,54007,"Braxton County, West Virginia",14523,14519,14545,14533,14451,14385,14404,14372,14321,14224,14089
0500000US54009,54009,"Brooke County, West Virginia",24069,24067,23995,23828,23691,23604,23384,23205,22680,22390,22203
0500000US54011,54011,"Cabell County, West Virginia",96319,96297,96322,96604,96943,97020,96634,96571,95673,94486,93224
0500000US54013,54013,"Calhoun County, West Virginia",7627,7627,7657,7637,7595,7550,7559,7466,7379,7322,7254
0500000US54015,54015,"Clay County, West Virginia",9386,9384,9373,9332,9206,9138,8880,8874,8827,8714,8632
0500000US54017,54017,"Doddridge County, West Virginia",8202,8201,8198,8250,8298,8547,8471,8701,8575,8529,8406
0500000US54019,54019,"Fayette County, West Virginia",46039,46049,46033,45919,45861,45560,45161,44706,44167,43577,43018
0500000US54021,54021,"Gilmer County, West Virginia",8693,8695,8731,8749,8747,8620,8497,8306,8138,8057,8026
0500000US54023,54023,"Grant County, West Virginia",11937,11942,11916,11904,11825,11763,11639,11672,11620,11649,11626
0500000US54025,54025,"Greenbrier County, West Virginia",35480,35483,35548,35727,35876,35799,35581,35585,35539,35243,34786
0500000US54027,54027,"Hampshire County, West Virginia",23964,23969,23961,23788,23680,23490,23439,23314,23318,23398,23347
0500000US54029,54029,"Hancock County, West Virginia",30676,30672,30663,30611,30448,30366,30248,29968,29666,29425,29094
0500000US54031,54031,"Hardy County, West Virginia",14025,14025,14042,13959,13847,13966,13954,13831,13813,13838,13775
0500000US54033,54033,"Harrison County, West Virginia",69099,69108,69262,69306,69105,68918,68680,68539,68351,67923,67554
0500000US54035,54035,"Jackson County, West Virginia",29211,29214,29234,29316,29280,29191,29131,29163,29181,28907,28706
0500000US54037,54037,"Jefferson County, West Virginia",53498,53488,53606,54449,54694,54999,55624,56081,55975,56406,56811
0500000US54039,54039,"Kanawha County, West Virginia",193063,193051,192913,192157,192234,191530,190353,188270,186162,183310,180454
0500000US54041,54041,"Lewis County, West Virginia",16372,16372,16414,16438,16452,16480,16447,16436,16283,16192,16024
0500000US54043,54043,"Lincoln County, West Virginia",21720,21709,21672,21564,21605,21452,21521,21279,21112,20878,20599
0500000US54045,54045,"Logan County, West Virginia",36743,36754,36722,36456,36313,35929,35248,34437,33669,33043,32607
0500000US54047,54047,"McDowell County, West Virginia",22113,22111,22099,21731,21321,20962,20388,19763,19192,18521,18223
0500000US54049,54049,"Marion County, West Virginia",56418,56418,56533,56670,56745,56710,56780,56744,56497,56369,56097
0500000US54051,54051,"Marshall County, West Virginia",33107,33107,33071,32910,32801,32621,32338,32191,31696,31216,30785
0500000US54053,54053,"Mason County, West Virginia",27324,27348,27367,27312,27214,27141,27148,27081,26928,26818,26718
0500000US54055,54055,"Mercer County, West Virginia",62264,62265,62337,62556,62417,61911,61762,61124,60613,59801,59131
0500000US54057,54057,"Mineral County, West Virginia",28212,28198,28179,28028,27857,27663,27538,27384,27346,27180,26940
0500000US54059,54059,"Mingo County, West Virginia",26839,26834,26769,26601,26189,26013,25739,25320,24723,24138,23785
0500000US54061,54061,"Monongalia County, West Virginia",96189,96190,96758,99011,100917,102271,103486,104706,105732,105916,106420
0500000US54063,54063,"Monroe County, West Virginia",13502,13498,13522,13550,13502,13521,13612,13578,13492,13373,13280
0500000US54065,54065,"Morgan County, West Virginia",17541,17541,17491,17462,17426,17444,17516,17487,17622,17709,17787
0500000US54067,54067,"Nicholas County, West Virginia",26233,26233,26230,26214,26261,25948,25718,25550,25378,25134,24842
0500000US54069,54069,"Ohio County, West Virginia",44443,44448,44495,44221,44011,43751,43261,42996,42666,42056,41755
0500000US54071,54071,"Pendleton County, West Virginia",7695,7695,7676,7536,7470,7374,7229,7104,6978,6970,6997
0500000US54073,54073,"Pleasants County, West Virginia",7605,7602,7571,7574,7533,7517,7588,7499,7488,7453,7507
0500000US54075,54075,"Pocahontas County, West Virginia",8719,8722,8734,8824,8702,8680,8652,8574,8528,8487,8414
0500000US54077,54077,"Preston County, West Virginia",33520,33520,33555,33661,33900,33685,33918,33844,33763,33823,33839
0500000US54079,54079,"Putnam County, West Virginia",55486,55495,55627,56032,56449,56499,56634,56600,56680,56665,56682
0500000US54081,54081,"Raleigh County, West Virginia",78859,78865,78916,79334,79249,78800,78185,77371,76290,75062,74254
0500000US54083,54083,"Randolph County, West Virginia",29405,29405,29363,29430,29390,29522,29374,29206,29028,28894,28823
0500000US54085,54085,"Ritchie County, West Virginia",10449,10448,10419,10310,10248,10146,10076,10082,9964,9816,9721
0500000US54087,54087,"Roane County, West Virginia",14926,14927,14895,14800,14679,14608,14595,14377,14111,14010,13932
0500000US54089,54089,"Summers County, West Virginia",13927,13926,13940,13856,13835,13592,13329,13134,12975,12891,12760
0500000US54091,54091,"Taylor County, West Virginia",16895,16888,16886,16928,16968,16987,17100,16928,16953,16910,16862
0500000US54093,54093,"Tucker County, West Virginia",7141,7141,7127,7128,7077,7078,7051,7088,7052,6991,6955
0500000US54095,54095,"Tyler County, West Virginia",9208,9230,9218,9119,9054,9008,9086,8952,8953,8807,8746
0500000US54097,54097,"Upshur County, West Virginia",24254,24254,24239,24267,24440,24600,24662,24725,24676,24546,24415
0500000US54099,54099,"Wayne County, West Virginia",42481,42495,42455,42180,41873,41829,41507,41195,40702,40192,39944
0500000US54101,54101,"Webster County, West Virginia",9154,9150,9153,9123,8981,8833,8751,8636,8557,8363,8285
0500000US54103,54103,"Wetzel County, West Virginia",16583,16565,16537,16370,16345,16113,15957,15777,15640,15425,15270
0500000US54105,54105,"Wirt County, West Virginia",5717,5715,5726,5755,5774,5839,5791,5805,5767,5790,5830
0500000US54107,54107,"Wood County, West Virginia",86956,86953,86970,86875,86605,86514,86465,86326,85699,85083,84203
