FIPS,Year,State,FIPS State,County,Population,"Estimated Age-adjusted Death Rate, 16 Categories (in ranges)"
54105,2009,West Virginia,54,"Wirt County, WV",5703,8-9.9
54105,2010,West Virginia,54,"Wirt County, WV",5745,10-11.9
54105,2008,West Virginia,54,"Wirt County, WV",5745,8-9.9
54105,2006,West Virginia,54,"Wirt County, WV",5791,6-7.9
54105,2011,West Virginia,54,"Wirt County, WV",5798,10-11.9
54105,2007,West Virginia,54,"Wirt County, WV",5806,6-7.9
54105,2012,West Virginia,54,"Wirt County, WV",5816,12-13.9
54093,2012,West Virginia,54,"Tucker County, WV",6945,8-9.9
54093,2011,West Virginia,54,"Tucker County, WV",7050,6-7.9
54093,2006,West Virginia,54,"Tucker County, WV",7111,2-3.9
54093,2010,West Virginia,54,"Tucker County, WV",7115,6-7.9
54093,2007,West Virginia,54,"Tucker County, WV",7117,2-3.9
54093,2008,West Virginia,54,"Tucker County, WV",7160,4-5.9
54093,2009,West Virginia,54,"Tucker County, WV",7172,4-5.9
54071,2012,West Virginia,54,"Pendleton County, WV",7515,12-13.9
54013,2006,West Virginia,54,"Calhoun County, WV",7531,6-7.9
54013,2009,West Virginia,54,"Calhoun County, WV",7560,10-11.9
54071,2011,West Virginia,54,"Pendleton County, WV",7563,12-13.9
54073,2010,West Virginia,54,"Pleasants County, WV",7582,12-13.9
54013,2007,West Virginia,54,"Calhoun County, WV",7588,8-9.9
54073,2012,West Virginia,54,"Pleasants County, WV",7598,14-15.9
54013,2012,West Virginia,54,"Calhoun County, WV",7598,14-15.9
54073,2011,West Virginia,54,"Pleasants County, WV",7604,12-13.9
54013,2008,West Virginia,54,"Calhoun County, WV",7621,8-9.9
54013,2010,West Virginia,54,"Calhoun County, WV",7643,12-13.9
54013,2011,West Virginia,54,"Calhoun County, WV",7644,12-13.9
54073,2006,West Virginia,54,"Pleasants County, WV",7670,6-7.9
54073,2009,West Virginia,54,"Pleasants County, WV",7672,10-11.9
54071,2010,West Virginia,54,"Pendleton County, WV",7684,10-11.9
54073,2007,West Virginia,54,"Pleasants County, WV",7698,8-9.9
54071,2009,West Virginia,54,"Pendleton County, WV",7701,10-11.9
54073,2008,West Virginia,54,"Pleasants County, WV",7702,8-9.9
54071,2008,West Virginia,54,"Pendleton County, WV",7761,8-9.9
54071,2007,West Virginia,54,"Pendleton County, WV",7792,8-9.9
54017,2006,West Virginia,54,"Doddridge County, WV",7848,8-9.9
54071,2006,West Virginia,54,"Pendleton County, WV",7922,6-7.9
54017,2007,West Virginia,54,"Doddridge County, WV",7970,8-9.9
54017,2008,West Virginia,54,"Doddridge County, WV",8034,10-11.9
