FIPS,Year,State,FIPS State,County,Population,"Estimated Age-adjusted Death Rate, 16 Categories (in ranges)"
39001,2012,Ohio,39,"Adams County, OH","28,354",22-23.9
39007,2012,Ohio,39,"Ashtabula County, OH","100,268",12-13.9
39009,2012,Ohio,39,"Athens County, OH","64,641",16-17.9
39013,2012,Ohio,39,"Belmont County, OH","69,638",12-13.9
39015,2012,Ohio,39,"Brown County, OH","44,399",24-25.9
39017,2012,Ohio,39,"Butler County, OH","370,802",18-19.9
39019,2012,Ohio,39,"Carroll County, OH","28,583",12-13.9
39021,2012,Ohio,39,"Champaign County, OH","39,578",12-13.9
39023,2012,Ohio,39,"Clark County, OH","137,193",20-21.9
39025,2012,Ohio,39,"Clermont County, OH","199,242",18-19.9
39027,2012,Ohio,39,"Clinton County, OH","41,844",20-21.9
39029,2012,Ohio,39,"Columbiana County, OH","106,441",12-13.9
39033,2012,Ohio,39,"Crawford County, OH","42,827",14-15.9
39035,2012,Ohio,39,"Cuyahoga County, OH","1,265,798",16-17.9
39037,2012,Ohio,39,"Darke County, OH","52,498",14-15.9
39041,2012,Ohio,39,"Delaware County, OH","181,127",6-7.9
39047,2012,Ohio,39,"Fayette County, OH","28,837",14-15.9
39049,2012,Ohio,39,"Franklin County, OH","1,197,690",14-15.9
39053,2012,Ohio,39,"Gallia County, OH","30,823",18-19.9
39057,2012,Ohio,39,"Greene County, OH","164,389",18-19.9
39059,2012,Ohio,39,"Guernsey County, OH","39,826",12-13.9
39061,2012,Ohio,39,"Hamilton County, OH","802,316",18-19.9
39065,2012,Ohio,39,"Hardin County, OH","31,638",12-13.9
39071,2012,Ohio,39,"Highland County, OH","43,023",16-17.9
39073,2012,Ohio,39,"Hocking County, OH","29,299",14-15.9
39075,2012,Ohio,39,"Holmes County, OH","43,094",2-3.9
39079,2012,Ohio,39,"Jackson County, OH","32,905",20-21.9
39081,2012,Ohio,39,"Jefferson County, OH","68,338",22-23.9
39085,2012,Ohio,39,"Lake County, OH","229,338",12-13.9
39087,2012,Ohio,39,"Lawrence County, OH","62,118",18-19.9
39089,2012,Ohio,39,"Licking County, OH","167,727",12-13.9
39091,2012,Ohio,39,"Logan County, OH","45,447",12-13.9
39093,2012,Ohio,39,"Lorain County, OH","301,652",12-13.9
39095,2012,Ohio,39,"Lucas County, OH","437,131",16-17.9
39099,2012,Ohio,39,"Mahoning County, OH","235,845",16-17.9
39101,2012,Ohio,39,"Marion County, OH","66,236",14-15.9
39105,2012,Ohio,39,"Meigs County, OH","23,605",14-15.9
39107,2012,Ohio,39,"Mercer County, OH","40,841",6-7.9
39109,2012,Ohio,39,"Miami County, OH","103,125",14-15.9
39113,2012,Ohio,39,"Montgomery County, OH","534,782",28-29.9
39115,2012,Ohio,39,"Morgan County, OH","14,959",12-13.9
39129,2012,Ohio,39,"Pickaway County, OH","56,361",12-13.9
39131,2012,Ohio,39,"Pike County, OH","28,490",18-19.9
39135,2012,Ohio,39,"Preble County, OH","41,856",14-15.9
39137,2012,Ohio,39,"Putnam County, OH","34,188",4-5.9
39139,2012,Ohio,39,"Richland County, OH","122,600",14-15.9
39141,2012,Ohio,39,"Ross County, OH","77,453",20-21.9
39145,2012,Ohio,39,"Scioto County, OH","78,605",26-27.9
39147,2012,Ohio,39,"Seneca County, OH","56,037",6-7.9
39149,2012,Ohio,39,"Shelby County, OH","49,125",12-13.9
39153,2012,Ohio,39,"Summit County, OH","541,192",14-15.9
39155,2012,Ohio,39,"Trumbull County, OH","207,399",22-23.9
39157,2012,Ohio,39,"Tuscarawas County, OH","92,501",6-7.9
39163,2012,Ohio,39,"Vinton County, OH","13,235",22-23.9
39165,2012,Ohio,39,"Warren County, OH","217,749",12-13.9
39167,2012,Ohio,39,"Washington County, OH","61,509",12-13.9
39169,2012,Ohio,39,"Wayne County, OH","115,063",6-7.9
39171,2012,Ohio,39,"Williams County, OH","37,547",6-7.9
