"","year","oshpd_facility_number","facility_name","county_name","type_of_control","type_of_care","count"
"1",2009,10735,"ALAMEDA HOSPITAL","ALAMEDA","District","Acute",2737
"2",2009,10735,"ALAMEDA HOSPITAL","ALAMEDA","District","Skilled Nursing/Intermediate Care",105
"3",2009,10739,"ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS","ALAMEDA","Non-Profit","Acute",25190
"4",2009,10776,"CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND","ALAMEDA","Non-Profit","Acute",10727
"5",2009,10776,"CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND","ALAMEDA","Non-Profit","Physical Rehabilitation",183
"6",2009,10782,"THUNDER ROAD CHEMICAL DEPENDENCY RECOVERY HOSPITAL","ALAMEDA","Non-Profit","Chemical Dependency",136
"7",2009,10805,"EDEN MEDICAL CENTER","ALAMEDA","Non-Profit","Acute",9216
"8",2009,10805,"EDEN MEDICAL CENTER","ALAMEDA","Non-Profit","Psychiatric",409
"9",2009,10805,"EDEN MEDICAL CENTER","ALAMEDA","Non-Profit","Physical Rehabilitation",473
"10",2009,10844,"ALTA BATES SUMMIT MED CTR-HERRICK CAMPUS","ALAMEDA","Non-Profit","Skilled Nursing/Intermediate Care",14
"11",2009,10844,"ALTA BATES SUMMIT MED CTR-HERRICK CAMPUS","ALAMEDA","Non-Profit","Psychiatric",2829
"12",2009,10844,"ALTA BATES SUMMIT MED CTR-HERRICK CAMPUS","ALAMEDA","Non-Profit","Physical Rehabilitation",728
"13",2009,10846,"ALAMEDA CO MED CTR - HIGHLAND CAMPUS","ALAMEDA","City/County","Acute",10827
"14",2009,10846,"ALAMEDA CO MED CTR - HIGHLAND CAMPUS","ALAMEDA","City/County","Skilled Nursing/Intermediate Care",163
"15",2009,10846,"ALAMEDA CO MED CTR - HIGHLAND CAMPUS","ALAMEDA","City/County","Psychiatric",3246
"16",2009,10846,"ALAMEDA CO MED CTR - HIGHLAND CAMPUS","ALAMEDA","City/County","Physical Rehabilitation",495
"17",2009,10856,"KAISER FND HOSP - OAKLAND CAMPUS","ALAMEDA","Non-Profit","Acute",20141
"18",2009,10858,"KAISER FND HOSP - HAYWARD/FREMONT","ALAMEDA","Non-Profit","Acute",18814
"19",2009,10887,"KINDRED HOSPITAL - SAN FRANCISCO BAY AREA","ALAMEDA","Investor","Acute",463
"20",2009,10937,"ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE","ALAMEDA","Non-Profit","Acute",13733
"21",2009,10937,"ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE","ALAMEDA","Non-Profit","Skilled Nursing/Intermediate Care",831
"22",2009,10967,"ST. ROSE HOSPITAL","ALAMEDA","Non-Profit","Acute",8591
"23",2009,10967,"ST. ROSE HOSPITAL","ALAMEDA","Non-Profit","Skilled Nursing/Intermediate Care",301
"24",2009,10987,"WASHINGTON HOSPITAL - FREMONT","ALAMEDA","District","Acute",15695
"25",2009,13619,"SAN LEANDRO HOSPITAL","ALAMEDA","Non-Profit","Acute",4222
"26",2009,13619,"SAN LEANDRO HOSPITAL","ALAMEDA","Non-Profit","Unknown",1
"27",2009,13687,"MPI CHEMICAL DEPENDENCY RECOVERY HOSPITAL","ALAMEDA","Non-Profit","Chemical Dependency",591
"28",2009,14034,"FREMONT HOSPITAL","ALAMEDA","Investor","Acute",1
"29",2009,14034,"FREMONT HOSPITAL","ALAMEDA","Investor","Psychiatric",3437
"30",2009,14050,"VALLEYCARE MEDICAL CENTER","ALAMEDA","Non-Profit","Acute",8782
"31",2009,14050,"VALLEYCARE MEDICAL CENTER","ALAMEDA","Non-Profit","Skilled Nursing/Intermediate Care",422
"32",2009,14050,"VALLEYCARE MEDICAL CENTER","ALAMEDA","Non-Profit","Psychiatric",218
"33",2009,14207,"TELECARE HERITAGE PSYCHIATRIC HEALTH FACILITY","ALAMEDA","Investor","Psychiatric",1272
"34",2009,14226,"TELECARE WILLOW ROCK CENTER","ALAMEDA","Investor","Psychiatric",649
"35",2009,34002,"SUTTER AMADOR HOSPITAL","AMADOR","Non-Profit","Acute",2658
"36",2009,40802,"BIGGS GRIDLEY MEMORIAL HOSPITAL","BUTTE","Non-Profit","Acute",667
"37",2009,40802,"BIGGS GRIDLEY MEMORIAL HOSPITAL","BUTTE","Non-Profit","Skilled Nursing/Intermediate Care",66
"38",2009,40875,"FEATHER RIVER HOSPITAL","BUTTE","Non-Profit","Acute",5909
"39",2009,40937,"OROVILLE HOSPITAL","BUTTE","Non-Profit","Acute",8958
"40",2009,40937,"OROVILLE HOSPITAL","BUTTE","Non-Profit","Skilled Nursing/Intermediate Care",459
"41",2009,40962,"ENLOE MEDICAL CENTER- ESPLANADE CAMPUS","BUTTE","Non-Profit","Acute",14871
"42",2009,40962,"ENLOE MEDICAL CENTER- ESPLANADE CAMPUS","BUTTE","Non-Profit","Psychiatric",615
"43",2009,40962,"ENLOE MEDICAL CENTER- ESPLANADE CAMPUS","BUTTE","Non-Profit","Physical Rehabilitation",604
"44",2009,44006,"BUTTE COUNTY PHF","BUTTE","City/County","Psychiatric",609
"45",2009,50932,"MARK TWAIN ST. JOSEPH'S HOSPITAL","CALAVERAS","Non-Profit","Acute",1517
"46",2009,50932,"MARK TWAIN ST. JOSEPH'S HOSPITAL","CALAVERAS","Non-Profit","Skilled Nursing/Intermediate Care",21
"47",2009,60870,"COLUSA REGIONAL MEDICAL CENTER","COLUSA","Non-Profit","Acute",1308
"48",2009,60870,"COLUSA REGIONAL MEDICAL CENTER","COLUSA","Non-Profit","Skilled Nursing/Intermediate Care",84
