BUYER_COUNTY,all_active_wt,oxy_wt,hyd_wt,perc_oxy,perc_hyd,perc_retail,perc_chain,perc_practitioner,most_dist_channel,pharmacy_num,dominance,State,Year,est_death_rate_cat,Population,median_income,Political.affiliation,act_wt_person_county,political_aff
BARBOUR,3300.13147,1431.307075,1868.824395,43.4,56.6,0.8546125461254612,0.14538745387453875,0,RETAIL PHARMACY,4,Yes,West Virginia,2012,3,16861,36087,Republican,0.1957257262321333,Republican
BERKELEY,31192.1725203,25350.0473853,5842.125135,81.3,18.700000000000003,0.45262246412666995,0.5437902028698665,0.003587333003463632,CHAIN PHARMACY,25,No,West Virginia,2012,4,107030,53332,Republican,0.2914339205858171,Republican
BOONE,12041.264973025,5082.827643025,6958.43733,42.199999999999996,57.800000000000004,0.842443729903537,0.15434083601286175,0.003215434083601286,RETAIL PHARMACY,11,Yes,West Virginia,2012,6,24371,42819,Democrat,0.4940816943508678,Democrat
BRAXTON,3334.946145,1544.445375,1790.50077,46.300000000000004,53.699999999999996,0.5535872453498671,0.4455270150575731,0.00088573959255978745,RETAIL PHARMACY,5,Yes,West Virginia,2012,3,14487,31623,Democrat,0.2302026744667633,Democrat
BROOKE,5910.41192,4280.115125,1630.296795,72.39999999999999,27.60000000000001,0.48558507631430187,0.5144149236856982,0,CHAIN PHARMACY,6,Yes,West Virginia,2012,4,23804,42307,Democrat,0.24829490505797344,Democrat
CABELL,34440.9081118,18394.7054368,16046.202675,53.400000000000006,46.599999999999994,0.4595305347228986,0.5332619070809389,0.007207558196162462,CHAIN PHARMACY,47,No,West Virginia,2012,6,96902,37238,Democrat,0.35541999248519124,Democrat
CALHOUN,494.785055,118.78625,375.998805,24,76,0.36162361623616235,0.6383763837638377,0,CHAIN PHARMACY,2,Yes,West Virginia,2012,3,7598,29282,Democrat,0.06512043366675441,Democrat
CLAY,1035.506485,272.536,762.970485,26.3,73.7,0.5190156599552572,0.4697986577181208,0.011185682326621925,RETAIL PHARMACY,5,Yes,West Virginia,2012,3,9262,33165,Democrat,0.11180160710429714,Democrat
DODDRIDGE,657.75168,314.6715,343.08018,47.8,52.2,1,0,0,RETAIL PHARMACY,1,Yes,West Virginia,2012,3,8199,31261,Republican,0.08022340285400659,Republican
FAYETTE,22973.754287724998,13793.953007725,9179.80128,60,40,0.31178942165101337,0.6851211072664359,0.003089471082550667,CHAIN PHARMACY,30,No,Ohio,2012,3,28837,34891,Democrat,0.7966762939184033,Democrat
FAYETTE,22973.754287724998,13793.953007725,9179.80128,60,40,0.31178942165101337,0.6851211072664359,0.003089471082550667,CHAIN PHARMACY,30,No,Ohio,2012,3,28837,34891,Republican,0.7966762939184033,Republican
FAYETTE,22973.754287724998,13793.953007725,9179.80128,60,40,0.31178942165101337,0.6851211072664359,0.003089471082550667,CHAIN PHARMACY,30,No,Ohio,2012,3,28837,38864,Democrat,0.7966762939184033,Democrat
FAYETTE,22973.754287724998,13793.953007725,9179.80128,60,40,0.31178942165101337,0.6851211072664359,0.003089471082550667,CHAIN PHARMACY,30,No,Ohio,2012,3,28837,38864,Republican,0.7966762939184033,Republican
FAYETTE,22973.754287724998,13793.953007725,9179.80128,60,40,0.31178942165101337,0.6851211072664359,0.003089471082550667,CHAIN PHARMACY,30,No,West Virginia,2012,5,45904,38864,Democrat,0.5004739083244379,Democrat
FAYETTE,22973.754287724998,13793.953007725,9179.80128,60,40,0.31178942165101337,0.6851211072664359,0.003089471082550667,CHAIN PHARMACY,30,No,West Virginia,2012,5,45904,38864,Republican,0.5004739083244379,Republican
FAYETTE,22973.754287724998,13793.953007725,9179.80128,60,40,0.31178942165101337,0.6851211072664359,0.003089471082550667,CHAIN PHARMACY,30,No,West Virginia,2012,5,45904,34891,Democrat,0.5004739083244379,Democrat
FAYETTE,22973.754287724998,13793.953007725,9179.80128,60,40,0.31178942165101337,0.6851211072664359,0.003089471082550667,CHAIN PHARMACY,30,No,West Virginia,2012,5,45904,34891,Republican,0.5004739083244379,Republican
GILMER,1049.7032425749999,464.372252575,585.33099,44.2,55.8,0.6939252336448598,0.3060747663551402,0,RETAIL PHARMACY,2,Yes,West Virginia,2012,2,8774,35524,Democrat,0.11963793510086618,Democrat
GRANT,1237.086595,678.6505,558.436095,54.900000000000006,45.099999999999994,0.6313932980599647,0.36860670194003525,0,RETAIL PHARMACY,2,Yes,West Virginia,2012,2,11851,40250,Republican,0.10438668424605518,Republican
GREENBRIER,20045.6187703,14150.5211353,5895.097635,70.6,29.400000000000006,0.6292878635907723,0.36489468405215647,0.005817452357071214,RETAIL PHARMACY,22,No,West Virginia,2012,4,35861,36539,Democrat,0.5589810314910348,Democrat
