"","year","county","median_income","margin_of_error_plus_or_minus"
"1",2011,"West Virginia","39550","356"
"2",2011,"Barbour","33158","3750"
"3",2011,"Berkeley","52504","1760"
"4",2011,"Boone","41359","1961"
"5",2011,"Braxton","31686","3076"
"6",2011,"Brooke","41441","2145"
"7",2011,"Cabell","35691","1363"
"8",2011,"Calhoun","26099","2520"
"9",2011,"Clay","29105","2920"
"10",2011,"Doddridge","32063","3190"
"11",2011,"Fayette","32940","2143"
"12",2011,"Gilmer","33309","5125"
"13",2011,"Grant","40008","3206"
"14",2011,"Greenbrier","35180","1964"
"15",2011,"Hampshire","29001","2941"
"16",2011,"Hancock","38369","2388"
"17",2011,"Hardy","33060","2986"
"18",2011,"Harrison","40556","1516"
"19",2011,"Jackson","43191","3635"
"20",2011,"Jefferson","65285","2512"
"21",2011,"Kanawha","44265","963"
"22",2011,"Lewis","34617","3379"
"23",2011,"Lincoln","31880","2042"
"24",2011,"Logan","36562","2623"
"25",2011,"McDowell","21967","1285"
"26",2011,"Marion","39870","1634"
"27",2011,"Marshall","37313","2211"
"28",2011,"Mason","36468","1990"
"29",2011,"Mercer","33704","1547"
"30",2011,"Mineral","34691","2196"
"31",2011,"Mingo","32794","4158"
"32",2011,"Monongalia","41325","1851"
"33",2011,"Monroe","39047","3924"
"34",2011,"Morgan","36703","3345"
"35",2011,"Nicholas","39636","4023"
"36",2011,"Ohio","41188","1785"
"37",2011,"Pendleton","32989","3766"
"38",2011,"Pleasants","39052","9284"
"39",2011,"Pocahontas","33816","2912"
"40",2011,"Preston","43434","1675"
"41",2011,"Putnam","53640","3023"
"42",2011,"Raleigh","38596","2325"
"43",2011,"Randolph","35560","2426"
"44",2011,"Ritchie","34204","2850"
"45",2011,"Roane","27772","1417"
"46",2011,"Summers","32194","3085"
"47",2011,"Taylor","39142","4018"
"48",2011,"Tucker","36502","3146"
"49",2011,"Tyler","36563","2789"
"50",2011,"Upshur","37689","2900"
"51",2011,"Wayne","36029","2332"
"52",2011,"Webster","25990","4891"
"53",2011,"Wetzel","37673","2697"
"54",2011,"Wirt","37482","7665"
"55",2011,"Wood","42257","1573"
"56",2011,"Wyoming","36641","2677"
"57",2012,"West Virginia","40400","328"
"58",2012,"Barbour","36087","2008"
"59",2012,"Berkeley","53332","1795"
"60",2012,"Boone","42819","3582"
"61",2012,"Braxton","31623","2956"
"62",2012,"Brooke","42307","2327"
"63",2012,"Cabell","37238","1518"
"64",2012,"Calhoun","29282","3722"
"65",2012,"Clay","33165","5561"
"66",2012,"Doddridge","31261","3847"
"67",2012,"Fayette","34891","2496"
"68",2012,"Gilmer","35524","6023"
"69",2012,"Grant","40250","3162"
"70",2012,"Greenbrier","36539","2202"
"71",2012,"Hampshire","28573","2327"
"72",2012,"Hancock","37465","2989"
"73",2012,"Hardy","34184","3642"
"74",2012,"Harrison","41799","1595"
"75",2012,"Jackson","41087","3260"
"76",2012,"Jefferson","64314","2309"
"77",2012,"Kanawha","45642","1011"
"78",2012,"Lewis","35179","2832"
"79",2012,"Lincoln","34066","3277"
"80",2012,"Logan","36698","2377"
"81",2012,"McDowell","22972","1747"
"82",2012,"Marion","40827","1409"
"83",2012,"Marshall","40288","2468"
"84",2012,"Mason","37877","2862"
"85",2012,"Mercer","34517","1696"
"86",2012,"Mineral","32968","2538"
"87",2012,"Mingo","34518","3630"
"88",2012,"Monongalia","41326","1416"
"89",2012,"Monroe","39877","3547"
"90",2012,"Morgan","35350","3569"
"91",2012,"Nicholas","38780","3879"
"92",2012,"Ohio","40652","1906"
"93",2012,"Pendleton","34087","4893"
"94",2012,"Pleasants","42300","5523"
"95",2012,"Pocahontas","32381","2634"
"96",2012,"Preston","45538","2109"
"97",2012,"Putnam","56081","2202"
"98",2012,"Raleigh","39325","2470"
"99",2012,"Randolph","37350","2255"
"100",2012,"Ritchie","35634","2805"
"101",2012,"Roane","27174","1442"
"102",2012,"Summers","33066","2294"
"103",2012,"Taylor","40720","2876"
"104",2012,"Tucker","36445","3271"
"105",2012,"Tyler","37919","2159"
"106",2012,"Upshur","41214","2406"
"107",2012,"Wayne","36575","2294"
"108",2012,"Webster","25634","3035"
"109",2012,"Wetzel","37897","2737"
"110",2012,"Wirt","36602","9375"
"111",2012,"Wood","42734","1407"
"112",2012,"Wyoming","36010","3658"
"113",2013,"West Virginia","41043","338"
"114",2013,"Barbour","37327","2235"
"115",2013,"Berkeley","53515","1710"
"116",2013,"Boone","42156","2650"
"117",2013,"Braxton","31848","4784"
"118",2013,"Brooke","42493","2681"
"119",2013,"Cabell","38374","1601"
"120",2013,"Calhoun","31679","4583"
"121",2013,"Clay","31613","4598"
"122",2013,"Doddridge","34817","3570"
"123",2013,"Fayette","33771","2362"
"124",2013,"Gilmer","38442","4372"
"125",2013,"Grant","41368","2907"
"126",2013,"Greenbrier","37895","2263"
"127",2013,"Hampshire","27766","2426"
"128",2013,"Hancock","38522","2441"
"129",2013,"Hardy","32723","2747"
"130",2013,"Harrison","43183","1517"
"131",2013,"Jackson","40376","2258"
"132",2013,"Jefferson","65304","2364"
"133",2013,"Kanawha","46085","925"
"134",2013,"Lewis","36199","2071"
"135",2013,"Lincoln","35487","2680"
"136",2013,"Logan","36999","2195"
"137",2013,"McDowell","22252","1569"
"138",2013,"Marion","42152","1823"
"139",2013,"Marshall","40681","1948"
"140",2013,"Mason","38411","2731"
"141",2013,"Mercer","34842","1653"
"142",2013,"Mineral","31163","1622"
"143",2013,"Mingo","35955","3749"
"144",2013,"Monongalia","44173","2620"
"145",2013,"Monroe","41234","2880"
"146",2013,"Morgan","36046","3213"
"147",2013,"Nicholas","40064","3360"
"148",2013,"Ohio","41025","1924"
"149",2013,"Pendleton","34175","4239"
"150",2013,"Pleasants","41859","4024"
"151",2013,"Pocahontas","33779","2709"
"152",2013,"Preston","45413","1701"
"153",2013,"Putnam","54854","2439"
"154",2013,"Raleigh","40758","1553"
"155",2013,"Randolph","37276","2520"
"156",2013,"Ritchie","35769","2300"
"157",2013,"Roane","28513","1416"
"158",2013,"Summers","33784","3071"
"159",2013,"Taylor","39536","3733"
"160",2013,"Tucker","37635","4317"
"161",2013,"Tyler","39206","2830"
"162",2013,"Upshur","39381","3186"
"163",2013,"Wayne","36964","1880"
"164",2013,"Webster","27645","3986"
"165",2013,"Wetzel","37969","2017"
"166",2013,"Wirt","34702","4912"
"167",2013,"Wood","42287","1267"
"168",2013,"Wyoming","34454","3021"
"169",2014,"West Virginia","41576","355"
"170",2014,"Barbour","36351","2107"
"171",2014,"Berkeley","55100","1647"
"172",2014,"Boone","42740","3545"
"173",2014,"Braxton","31984","3064"
"174",2014,"Brooke","44067","4813"
"175",2014,"Cabell","37716","1396"
"176",2014,"Calhoun","31017","3566"
"177",2014,"Clay","32933","4812"
"178",2014,"Doddridge","40329","4487"
"179",2014,"Fayette","34914","1880"
"180",2014,"Gilmer","35625","3899"
"181",2014,"Grant","41600","3835"
"182",2014,"Greenbrier","40256","3552"
"183",2014,"Hampshire","26828","1513"
"184",2014,"Hancock","39342","2247"
"185",2014,"Hardy","36465","2985"
"186",2014,"Harrison","43130","1536"
"187",2014,"Jackson","40733","2544"
"188",2014,"Jefferson","66205","2088"
"189",2014,"Kanawha","46583","921"
"190",2014,"Lewis","38006","2049"
"191",2014,"Lincoln","35623","3010"
"192",2014,"Logan","37312","2798"
"193",2014,"McDowell","23607","1932"
"194",2014,"Marion","43085","2307"
"195",2014,"Marshall","41978","1605"
"196",2014,"Mason","38297","2118"
"197",2014,"Mercer","35678","1623"
"198",2014,"Mineral","30713","2766"
"199",2014,"Mingo","34495","2383"
"200",2014,"Monongalia","46166","1879"
"201",2014,"Monroe","38239","4055"
"202",2014,"Morgan","37406","4153"
"203",2014,"Nicholas","38755","3141"
"204",2014,"Ohio","40342","1464"
"205",2014,"Pendleton","36052","3112"
"206",2014,"Pleasants","43831","3899"
"207",2014,"Pocahontas","34761","3888"
"208",2014,"Preston","45806","1993"
"209",2014,"Putnam","55939","3052"
"210",2014,"Raleigh","41152","1839"
"211",2014,"Randolph","40146","1616"
"212",2014,"Ritchie","39118","3121"
"213",2014,"Roane","30104","2543"
"214",2014,"Summers","35040","2836"
"215",2014,"Taylor","39933","4534"
"216",2014,"Tucker","38663","2769"
"217",2014,"Tyler","39974","2612"
"218",2014,"Upshur","39188","3500"
"219",2014,"Wayne","37491","3083"
"220",2014,"Webster","28907","2273"
"221",2014,"Wetzel","38066","2791"
"222",2014,"Wirt","37117","5740"
"223",2014,"Wood","42471","1136"
"224",2014,"Wyoming","34620","2920"
"225",2015,"West Virginia","41751","433"
"226",2015,"Barbour","37066","2601"
"227",2015,"Berkeley","55239","1628"
"228",2015,"Boone","39958","2871"
"229",2015,"Braxton","32750","4420"
"230",2015,"Brooke","46215","2259"
"231",2015,"Cabell","38344","1905"
"232",2015,"Calhoun","35568","6515"
"233",2015,"Clay","31325","3298"
"234",2015,"Doddridge","39974","4623"
"235",2015,"Fayette","36293","1836"
"236",2015,"Gilmer","37536","4352"
"237",2015,"Grant","39088","3068"
"238",2015,"Greenbrier","39746","2836"
"239",2015,"Hampshire","27995","3352"
"240",2015,"Hancock","39959","2422"
"241",2015,"Hardy","40303","3536"
"242",2015,"Harrison","43987","1332"
"243",2015,"Jackson","41314","2720"
"244",2015,"Jefferson","66677","2007"
"245",2015,"Kanawha","45882","1008"
"246",2015,"Lewis","37849","1922"
"247",2015,"Lincoln","35800","2750"
"248",2015,"Logan","36763","2541"
"249",2015,"McDowell","24921","1590"
"250",2015,"Marion","43165","2573"
"251",2015,"Marshall","45182","2848"
"252",2015,"Mason","36448","1997"
"253",2015,"Mercer","36195","1537"
"254",2015,"Mineral","31790","2266"
"255",2015,"Mingo","33221","2234"
"256",2015,"Monongalia","45467","1935"
"257",2015,"Monroe","36918","3132"
"258",2015,"Morgan","39324","4539"
"259",2015,"Nicholas","39171","2676"
"260",2015,"Ohio","40569","1635"
"261",2015,"Pendleton","36953","3440"
"262",2015,"Pleasants","44288","3666"
"263",2015,"Pocahontas","36827","3486"
"264",2015,"Preston","45064","2377"
"265",2015,"Putnam","56774","3410"
"266",2015,"Raleigh","41032","1673"
"267",2015,"Randolph","39457","2608"
"268",2015,"Ritchie","37636","4790"
"269",2015,"Roane","31813","3144"
"270",2015,"Summers","36651","1933"
"271",2015,"Taylor","43970","3245"
"272",2015,"Tucker","40533","2099"
"273",2015,"Tyler","38854","3862"
"274",2015,"Upshur","40330","4447"
"275",2015,"Wayne","36318","1884"
"276",2015,"Webster","29086","3319"
"277",2015,"Wetzel","39096","2886"
"278",2015,"Wirt","39352","3906"
"279",2015,"Wood","41884","1110"
"280",2015,"Wyoming","33730","2787"
"281",2016,"West Virginia","42644","410"
"282",2016,"Barbour","36733","1933"
"283",2016,"Berkeley","57148","1674"
"284",2016,"Boone","37820","2024"
"285",2016,"Braxton","38092","4998"
"286",2016,"Brooke","46265","2309"
"287",2016,"Cabell","37760","2050"
"288",2016,"Calhoun","39384","5164"
"289",2016,"Clay","33639","5335"
"290",2016,"Doddridge","39381","3138"
"291",2016,"Fayette","37846","1767"
"292",2016,"Gilmer","37286","4065"
"293",2016,"Grant","38703","2748"
"294",2016,"Greenbrier","40026","3375"
"295",2016,"Hampshire","32177","1988"
"296",2016,"Hancock","40316","2411"
"297",2016,"Hardy","39840","3258"
"298",2016,"Harrison","44845","1378"
"299",2016,"Jackson","40949","3711"
"300",2016,"Jefferson","69753","2815"
"301",2016,"Kanawha","46528","1086"
"302",2016,"Lewis","37827","1734"
"303",2016,"Lincoln","36232","3818"
"304",2016,"Logan","37262","2777"
"305",2016,"McDowell","25206","1236"
"306",2016,"Marion","46430","2366"
"307",2016,"Marshall","44464","3351"
"308",2016,"Mason","37322","3472"
"309",2016,"Mercer","37255","1925"
"310",2016,"Mineral","36153","2915"
"311",2016,"Mingo","32441","2377"
"312",2016,"Monongalia","47060","2190"
"313",2016,"Monroe","35995","2832"
"314",2016,"Morgan","43234","3364"
"315",2016,"Nicholas","39901","2657"
"316",2016,"Ohio","41986","1582"
"317",2016,"Pendleton","37035","3551"
"318",2016,"Pleasants","45191","4513"
"319",2016,"Pocahontas","36026","4481"
"320",2016,"Preston","45221","1991"
"321",2016,"Putnam","56640","2993"
"322",2016,"Raleigh","41533","1686"
"323",2016,"Randolph","40308","2715"
"324",2016,"Ritchie","40850","3533"
"325",2016,"Roane","34144","4286"
"326",2016,"Summers","35620","2109"
"327",2016,"Taylor","44371","3804"
"328",2016,"Tucker","43529","4819"
"329",2016,"Tyler","38674","3928"
"330",2016,"Upshur","42240","3658"
"331",2016,"Wayne","38311","2611"
"332",2016,"Webster","29982","3754"
"333",2016,"Wetzel","39446","2950"
"334",2016,"Wirt","38101","3909"
"335",2016,"Wood","43944","1607"
"336",2016,"Wyoming","35469","2845"
