State,Political affiliation
BARBOUR,Republican
BERKELEY,Republican
BOONE,Democrat
BRAXTON,Democrat
BROOKE,Democrat
CABELL,Democrat
CALHOUN,Democrat
CLAY,Democrat
DODDRIDGE,Republican
FAYETTE,Democrat
GILMER,Democrat
GRANT,Republican
GREENBRIER,Democrat
HAMPSHIRE,Republican
HANCOCK,Democrat
HARDY,Democrat
HARRISON,Democrat
JACKSON,Republican
JEFFERSON,Republican
KANAWHA,Democrat
LEWIS,Republican
LINCOLN,Democrat
LOGAN,Democrat
MARION,Democrat
MARSHALL,Democrat
MASON,Democrat
MCDOWELL,Democrat
MERCER,Democrat
MINERAL,Republican
MINGO,Democrat
MONONGALIA,Democrat
MONROE,Republican
MORGAN,Republican
NICHOLAS,Democrat
OHIO,Democrat
PENDLETON,Democrat
PLEASANTS,Democrat
POCAHONTAS,Democrat
PRESTON,Republican
PUTNAM,Republican
RALEIGH,Democrat
RANDOLPH,Democrat
RITCHIE,Republican
ROANE,Republican
SUMMERS,Democrat
"TAYLOR,",Democrat
TUCKER,Democrat
TYLER,Republican
UPSHUR,Republican
WAYNE,Democrat
WEBSTER,Democrat
WETZEL,Democrat
WIRT,Republican
WOOD,Republican
WYOMING,Democrat
